"","date","cases"
"1",2020-03-01,0
"2",2020-03-02,0
"3",2020-03-03,1
"4",2020-03-04,0
"5",2020-03-05,1
"6",2020-03-06,4
"7",2020-03-07,0
"8",2020-03-08,3
"9",2020-03-09,0
"10",2020-03-10,5
"11",2020-03-11,3
"12",2020-03-12,0
"13",2020-03-13,1
"14",2020-03-14,6
"15",2020-03-15,10
"16",2020-03-16,12
"17",2020-03-17,24
"18",2020-03-18,13
"19",2020-03-19,14
"20",2020-03-20,23
"21",2020-03-21,33
"22",2020-03-22,17
"23",2020-03-23,22
"24",2020-03-24,18
"25",2020-03-25,23
"26",2020-03-26,33
"27",2020-03-27,27
"28",2020-03-28,27
"29",2020-03-29,18
"30",2020-03-30,19
"31",2020-03-31,17
"32",2020-04-01,22
"33",2020-04-02,20
"34",2020-04-03,16
"35",2020-04-04,12
"36",2020-04-05,6
"37",2020-04-06,24
"38",2020-04-07,22
"39",2020-04-08,19
"40",2020-04-09,31
"41",2020-04-10,16
"42",2020-04-11,14
"43",2020-04-12,13
"44",2020-04-13,11
"45",2020-04-14,17
"46",2020-04-15,19
"47",2020-04-16,25
"48",2020-04-17,12
"49",2020-04-18,6
"50",2020-04-19,9
"51",2020-04-20,31
"52",2020-04-21,17
"53",2020-04-22,12
"54",2020-04-23,42
"55",2020-04-24,55
"56",2020-04-25,11
"57",2020-04-26,21
"58",2020-04-27,35
"59",2020-04-28,22
"60",2020-04-29,24
"61",2020-04-30,11
"62",2020-05-01,27
"63",2020-05-02,11
"64",2020-05-03,11
"65",2020-05-04,21
"66",2020-05-05,16
"67",2020-05-06,7
"68",2020-05-07,14
"69",2020-05-08,10
"70",2020-05-09,13
"71",2020-05-10,7
"72",2020-05-11,10
"73",2020-05-12,6
"74",2020-05-13,22
"75",2020-05-14,8
"76",2020-05-15,17
"77",2020-05-16,6
"78",2020-05-17,6
"79",2020-05-18,8
"80",2020-05-19,11
"81",2020-05-20,10
"82",2020-05-21,15
"83",2020-05-22,6
"84",2020-05-23,6
"85",2020-05-24,8
"86",2020-05-25,6
"87",2020-05-26,4
"88",2020-05-27,6
"89",2020-05-28,9
"90",2020-05-29,9
"91",2020-05-30,13
"92",2020-05-31,7
"93",2020-06-01,13
"94",2020-06-02,10
"95",2020-06-03,3
"96",2020-06-04,9
"97",2020-06-05,5
"98",2020-06-06,10
"99",2020-06-07,8
"100",2020-06-08,4
"101",2020-06-09,11
"102",2020-06-10,13
"103",2020-06-11,4
"104",2020-06-12,11
"105",2020-06-13,10
"106",2020-06-14,4
"107",2020-06-15,5
"108",2020-06-16,15
"109",2020-06-17,3
"110",2020-06-18,5
"111",2020-06-19,4
"112",2020-06-20,7
"113",2020-06-21,15
"114",2020-06-22,5
"115",2020-06-23,17
"116",2020-06-24,11
"117",2020-06-25,6
"118",2020-06-26,5
"119",2020-06-27,7
"120",2020-06-28,6
"121",2020-06-29,5
"122",2020-06-30,8
"123",2020-07-01,8
"124",2020-07-02,2
"125",2020-07-03,9
"126",2020-07-04,8
"127",2020-07-05,1
"128",2020-07-06,10
"129",2020-07-07,11
"130",2020-07-08,12
"131",2020-07-09,13
"132",2020-07-10,14
"133",2020-07-11,12
"134",2020-07-12,8
"135",2020-07-13,8
"136",2020-07-14,9
"137",2020-07-15,8
"138",2020-07-16,6
"139",2020-07-17,14
"140",2020-07-18,12
"141",2020-07-19,16
"142",2020-07-20,11
"143",2020-07-21,14
"144",2020-07-22,12
"145",2020-07-23,11
"146",2020-07-24,5
"147",2020-07-25,13
"148",2020-07-26,14
"149",2020-07-27,12
"150",2020-07-28,40
"151",2020-07-29,13
"152",2020-07-30,27
"153",2020-07-31,22
"154",2020-08-01,33
"155",2020-08-02,30
"156",2020-08-03,24
"157",2020-08-04,17
"158",2020-08-05,26
"159",2020-08-06,28
"160",2020-08-07,27
"161",2020-08-08,21
"162",2020-08-09,19
"163",2020-08-10,43
"164",2020-08-11,33
"165",2020-08-12,42
"166",2020-08-13,39
"167",2020-08-14,74
"168",2020-08-15,29
"169",2020-08-16,53
"170",2020-08-17,29
"171",2020-08-18,31
"172",2020-08-19,38
"173",2020-08-20,54
"174",2020-08-21,70
"175",2020-08-22,44
"176",2020-08-23,32
"177",2020-08-24,32
"178",2020-08-25,20
"179",2020-08-26,52
"180",2020-08-27,46
"181",2020-08-28,58
"182",2020-08-29,57
"183",2020-08-30,38
"184",2020-08-31,36
"185",2020-09-01,38
"186",2020-09-02,36
"187",2020-09-03,70
"188",2020-09-04,64
"189",2020-09-05,52
"190",2020-09-06,60
"191",2020-09-07,54
"192",2020-09-08,73
"193",2020-09-09,41
"194",2020-09-10,58
"195",2020-09-11,55
"196",2020-09-12,37
"197",2020-09-13,36
"198",2020-09-14,40
"199",2020-09-15,79
"200",2020-09-16,72
"201",2020-09-17,81
"202",2020-09-18,57
"203",2020-09-19,67
"204",2020-09-20,68
"205",2020-09-21,42
"206",2020-09-22,37
"207",2020-09-23,76
"208",2020-09-24,37
"209",2020-09-25,36
"210",2020-09-26,72
"211",2020-09-27,39
"212",2020-09-28,53
"213",2020-09-29,55
"214",2020-09-30,53
"215",2020-10-01,88
"216",2020-10-02,46
"217",2020-10-03,71
"218",2020-10-04,74
"219",2020-10-05,53
"220",2020-10-06,73
"221",2020-10-07,68
"222",2020-10-08,90
"223",2020-10-09,104
"224",2020-10-10,107
"225",2020-10-11,67
"226",2020-10-12,95
"227",2020-10-13,105
"228",2020-10-14,55
"229",2020-10-15,89
"230",2020-10-16,165
"231",2020-10-17,96
"232",2020-10-18,151
"233",2020-10-19,81
"234",2020-10-20,210
"235",2020-10-21,219
"236",2020-10-22,115
"237",2020-10-23,200
"238",2020-10-24,254
"239",2020-10-25,188
"240",2020-10-26,185
"241",2020-10-27,193
"242",2020-10-28,206
"243",2020-10-29,226
"244",2020-10-30,285
"245",2020-10-31,268
"246",2020-11-01,292
"247",2020-11-02,222
"248",2020-11-03,238
"249",2020-11-04,398
"250",2020-11-05,308
"251",2020-11-06,294
"252",2020-11-07,427
"253",2020-11-08,361
"254",2020-11-09,314
"255",2020-11-10,529
"256",2020-11-11,466
"257",2020-11-12,438
"258",2020-11-13,354
"259",2020-11-14,696
"260",2020-11-15,416
"261",2020-11-16,329
"262",2020-11-17,490
"263",2020-11-18,579
"264",2020-11-19,437
"265",2020-11-20,650
"266",2020-11-21,559
"267",2020-11-22,433
"268",2020-11-23,408
"269",2020-11-24,553
"270",2020-11-25,604
"271",2020-11-26,497
"272",2020-11-27,413
"273",2020-11-28,589
"274",2020-11-29,427
"275",2020-11-30,282
"276",2020-12-01,494
"277",2020-12-02,492
"278",2020-12-03,432
"279",2020-12-04,352
"280",2020-12-05,518
"281",2020-12-06,364
"282",2020-12-07,389
