"","date","cases"
"1",2020-03-01,0
"2",2020-03-02,0
"3",2020-03-03,0
"4",2020-03-04,0
"5",2020-03-05,0
"6",2020-03-06,0
"7",2020-03-07,0
"8",2020-03-08,0
"9",2020-03-09,0
"10",2020-03-10,0
"11",2020-03-11,0
"12",2020-03-12,0
"13",2020-03-13,0
"14",2020-03-14,0
"15",2020-03-15,2
"16",2020-03-16,0
"17",2020-03-17,0
"18",2020-03-18,1
"19",2020-03-19,4
"20",2020-03-20,4
"21",2020-03-21,4
"22",2020-03-22,3
"23",2020-03-23,7
"24",2020-03-24,20
"25",2020-03-25,6
"26",2020-03-26,10
"27",2020-03-27,4
"28",2020-03-28,7
"29",2020-03-29,8
"30",2020-03-30,5
"31",2020-03-31,13
"32",2020-04-01,14
"33",2020-04-02,0
"34",2020-04-03,6
"35",2020-04-04,0
"36",2020-04-05,1
"37",2020-04-06,0
"38",2020-04-07,1
"39",2020-04-08,1
"40",2020-04-09,1
"41",2020-04-10,0
"42",2020-04-11,4
"43",2020-04-12,0
"44",2020-04-13,4
"45",2020-04-14,3
"46",2020-04-15,3
"47",2020-04-16,3
"48",2020-04-17,2
"49",2020-04-18,0
"50",2020-04-19,5
"51",2020-04-20,1
"52",2020-04-21,1
"53",2020-04-22,5
"54",2020-04-23,4
"55",2020-04-24,3
"56",2020-04-25,1
"57",2020-04-26,1
"58",2020-04-27,3
"59",2020-04-28,2
"60",2020-04-29,2
"61",2020-04-30,5
"62",2020-05-01,1
"63",2020-05-02,1
"64",2020-05-03,0
"65",2020-05-04,0
"66",2020-05-05,1
"67",2020-05-06,1
"68",2020-05-07,1
"69",2020-05-08,0
"70",2020-05-09,0
"71",2020-05-10,4
"72",2020-05-11,0
"73",2020-05-12,2
"74",2020-05-13,0
"75",2020-05-14,0
"76",2020-05-15,0
"77",2020-05-16,0
"78",2020-05-17,0
"79",2020-05-18,0
"80",2020-05-19,1
"81",2020-05-20,3
"82",2020-05-21,1
"83",2020-05-22,0
"84",2020-05-23,0
"85",2020-05-24,0
"86",2020-05-25,0
"87",2020-05-26,0
"88",2020-05-27,1
"89",2020-05-28,0
"90",2020-05-29,0
"91",2020-05-30,0
"92",2020-05-31,0
"93",2020-06-01,0
"94",2020-06-02,0
"95",2020-06-03,0
"96",2020-06-04,0
"97",2020-06-05,0
"98",2020-06-06,0
"99",2020-06-07,0
"100",2020-06-08,0
"101",2020-06-09,0
"102",2020-06-10,0
"103",2020-06-11,0
"104",2020-06-12,0
"105",2020-06-13,0
"106",2020-06-14,0
"107",2020-06-15,0
"108",2020-06-16,1
"109",2020-06-17,0
"110",2020-06-18,0
"111",2020-06-19,1
"112",2020-06-20,1
"113",2020-06-21,0
"114",2020-06-22,0
"115",2020-06-23,0
"116",2020-06-24,0
"117",2020-06-25,0
"118",2020-06-26,2
"119",2020-06-27,0
"120",2020-06-28,0
"121",2020-06-29,0
"122",2020-06-30,0
"123",2020-07-01,1
"124",2020-07-02,1
"125",2020-07-03,1
"126",2020-07-04,0
"127",2020-07-05,0
"128",2020-07-06,0
"129",2020-07-07,0
"130",2020-07-08,1
"131",2020-07-09,2
"132",2020-07-10,3
"133",2020-07-11,1
"134",2020-07-12,1
"135",2020-07-13,2
"136",2020-07-14,6
"137",2020-07-15,13
"138",2020-07-16,15
"139",2020-07-17,17
"140",2020-07-18,6
"141",2020-07-19,17
"142",2020-07-20,6
"143",2020-07-21,12
"144",2020-07-22,14
"145",2020-07-23,6
"146",2020-07-24,21
"147",2020-07-25,6
"148",2020-07-26,6
"149",2020-07-27,3
"150",2020-07-28,3
"151",2020-07-29,5
"152",2020-07-30,4
"153",2020-07-31,3
"154",2020-08-01,2
"155",2020-08-02,3
"156",2020-08-03,4
"157",2020-08-04,4
"158",2020-08-05,2
"159",2020-08-06,1
"160",2020-08-07,0
"161",2020-08-08,2
"162",2020-08-09,0
"163",2020-08-10,2
"164",2020-08-11,1
"165",2020-08-12,4
"166",2020-08-13,1
"167",2020-08-14,4
"168",2020-08-15,2
"169",2020-08-16,1
"170",2020-08-17,1
"171",2020-08-18,3
"172",2020-08-19,2
"173",2020-08-20,5
"174",2020-08-21,1
"175",2020-08-22,1
"176",2020-08-23,4
"177",2020-08-24,4
"178",2020-08-25,2
"179",2020-08-26,0
"180",2020-08-27,3
"181",2020-08-28,3
"182",2020-08-29,1
"183",2020-08-30,7
"184",2020-08-31,0
"185",2020-09-01,4
"186",2020-09-02,2
"187",2020-09-03,2
"188",2020-09-04,4
"189",2020-09-05,3
"190",2020-09-06,2
"191",2020-09-07,0
"192",2020-09-08,1
"193",2020-09-09,0
"194",2020-09-10,2
"195",2020-09-11,1
"196",2020-09-12,2
"197",2020-09-13,4
"198",2020-09-14,6
"199",2020-09-15,6
"200",2020-09-16,5
"201",2020-09-17,2
"202",2020-09-18,10
"203",2020-09-19,6
"204",2020-09-20,6
"205",2020-09-21,4
"206",2020-09-22,0
"207",2020-09-23,6
"208",2020-09-24,1
"209",2020-09-25,0
"210",2020-09-26,7
"211",2020-09-27,1
"212",2020-09-28,2
"213",2020-09-29,2
"214",2020-09-30,0
"215",2020-10-01,5
"216",2020-10-02,1
"217",2020-10-03,4
"218",2020-10-04,8
"219",2020-10-05,2
"220",2020-10-06,3
"221",2020-10-07,0
"222",2020-10-08,4
"223",2020-10-09,5
"224",2020-10-10,4
"225",2020-10-11,10
"226",2020-10-12,2
"227",2020-10-13,3
"228",2020-10-14,2
"229",2020-10-15,3
"230",2020-10-16,2
"231",2020-10-17,6
"232",2020-10-18,4
"233",2020-10-19,20
"234",2020-10-20,10
"235",2020-10-21,14
"236",2020-10-22,17
"237",2020-10-23,15
"238",2020-10-24,5
"239",2020-10-25,10
"240",2020-10-26,23
"241",2020-10-27,14
"242",2020-10-28,9
"243",2020-10-29,7
"244",2020-10-30,7
"245",2020-10-31,16
"246",2020-11-01,5
"247",2020-11-02,14
"248",2020-11-03,16
"249",2020-11-04,19
"250",2020-11-05,22
"251",2020-11-06,24
"252",2020-11-07,11
"253",2020-11-08,23
"254",2020-11-09,46
"255",2020-11-10,24
"256",2020-11-11,19
"257",2020-11-12,21
"258",2020-11-13,26
"259",2020-11-14,33
"260",2020-11-15,23
"261",2020-11-16,24
"262",2020-11-17,32
"263",2020-11-18,35
"264",2020-11-19,23
"265",2020-11-20,34
"266",2020-11-21,36
"267",2020-11-22,49
"268",2020-11-23,61
"269",2020-11-24,57
"270",2020-11-25,64
"271",2020-11-26,53
"272",2020-11-27,85
"273",2020-11-28,50
"274",2020-11-29,60
"275",2020-11-30,80
"276",2020-12-01,79
"277",2020-12-02,76
"278",2020-12-03,73
"279",2020-12-04,67
"280",2020-12-05,86
"281",2020-12-06,78
"282",2020-12-07,52
